Date,Q (mm/d),TKN (mg/L)
11/01/1994,0.16633977,1.1
14/02/1994,0.017905427,0.7
9/03/1994,0.012236046,0.6
12/04/1994,0.016815375,0.6
17/05/1994,0.015829335,0.6
9/06/1994,0.02602812,0.6
6/07/1994,0.050061972,0.9
3/08/1994,1.320588718,2.2
13/09/1994,0.206772946,1.8
12/10/1994,0.740217663,1.8
10/11/1994,0.409429766,2.1
6/12/1994,0.041936505,0.9
9/01/1995,0.01392105,0.7
2/02/1995,0.005555661,0.7
15/03/1995,0.005633324,0.5
11/04/1995,0.032173186,0.7
23/05/1995,0.021118724,0.6
27/06/1995,0.111771971,1.4
25/07/1995,1.712255901,2.5
22/08/1995,0.282584285,1.3
19/09/1995,0.235284888,1.3
17/10/1995,0.112787135,1.2
21/11/1995,0.034017677,1
19/12/1995,0.025947684,0.6
23/01/1996,0.008608085,0.7
20/02/1996,0.006706734,0.8
26/03/1996,0.006574985,0.6
23/04/1996,0.014895995,1
28/05/1996,0.013769885,1.6
25/06/1996,0.05122414,0.51
23/07/1996,1.231716167,2.5
27/08/1996,0.950406384,1.8
24/09/1996,0.7459023,1.9
22/10/1996,0.208593861,1.1
26/11/1996,0.063718137,1.1
17/12/1996,0.041571768,0.9
29/01/1997,0.023154598,1
25/02/1997,0.004731881,0.51
18/03/1997,0.005784489,0.79
22/04/1997,0.009226614,0.91
27/05/1997,0.018288194,0.57
24/06/1997,0.020242244,1.2
22/07/1997,0.034838683,0.7
26/08/1997,0.309888293,2.5
23/09/1997,0.114660749,1.7
28/10/1997,0.01605955,1
25/11/1997,0.016209328,0.99
16/12/1997,0.006319807,0.72
