Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,086282,2021,01,01,30.1,1,N
IDCJAC0010,086282,2021,01,02,27.7,1,N
IDCJAC0010,086282,2021,01,03,28.1,1,N
IDCJAC0010,086282,2021,01,04,17.3,1,N
IDCJAC0010,086282,2021,01,05,17.4,1,N
IDCJAC0010,086282,2021,01,06,20.1,1,N
IDCJAC0010,086282,2021,01,07,26.0,1,N
IDCJAC0010,086282,2021,01,08,26.6,1,N
IDCJAC0010,086282,2021,01,09,30.0,1,N
IDCJAC0010,086282,2021,01,10,33.6,1,N
IDCJAC0010,086282,2021,01,11,36.0,1,N
IDCJAC0010,086282,2021,01,12,22.7,1,N
IDCJAC0010,086282,2021,01,13,34.1,1,N
IDCJAC0010,086282,2021,01,14,22.9,1,N
IDCJAC0010,086282,2021,01,15,21.0,1,N
IDCJAC0010,086282,2021,01,16,21.2,1,N
IDCJAC0010,086282,2021,01,17,21.4,1,N
IDCJAC0010,086282,2021,01,18,24.9,1,N
IDCJAC0010,086282,2021,01,19,19.0,1,N
IDCJAC0010,086282,2021,01,20,25.6,1,N
IDCJAC0010,086282,2021,01,21,33.5,1,N
IDCJAC0010,086282,2021,01,22,28.2,1,N
IDCJAC0010,086282,2021,01,23,29.7,1,N
IDCJAC0010,086282,2021,01,24,38.7,1,N
IDCJAC0010,086282,2021,01,25,40.5,1,N
IDCJAC0010,086282,2021,01,26,18.3,1,N
IDCJAC0010,086282,2021,01,27,24.0,1,N
IDCJAC0010,086282,2021,01,28,25.0,1,N
IDCJAC0010,086282,2021,01,29,20.7,1,N
IDCJAC0010,086282,2021,01,30,23.6,1,N
IDCJAC0010,086282,2021,01,31,22.2,1,N
IDCJAC0010,086282,2021,02,01,22.3,1,N
IDCJAC0010,086282,2021,02,02,19.0,1,N
IDCJAC0010,086282,2021,02,03,25.1,1,N
IDCJAC0010,086282,2021,02,04,29.8,1,N
IDCJAC0010,086282,2021,02,05,30.0,1,N
IDCJAC0010,086282,2021,02,06,25.4,1,N
